n,g,steps,dt,target_depth,ansatz_depth,compression_ratio,max_td,mean_td,compile_err_min,compile_err_max,compile_err_spread,seeds_agree,elapsed_s
10,1.0,6,0.1,24,3,8,0.10426600429349478,0.10255789091254482,3.233636632141042,25.625795314359774,22.39215868221873,0,5.488967665936798
10,1.0,8,0.1,32,16,2,0.03901063733799732,0.03780377386117366,0.8411464304640097,1.9935174332422887,1.152371002778279,0,72.42484704218805
10,1.0,8,0.1,32,8,4,0.016953586460583904,0.016719127266240186,0.642969059268042,0.7319367549171298,0.0889676956490878,0,27.709616040810943
10,1.0,8,0.1,32,4,8,0.019685555374119368,0.01917232140686903,0.693948877969337,0.8626731580819318,0.16872428011259477,0,9.820918334182352
10,1.5,2,0.1,8,4,2,0.013425468202673561,0.013016503307535033,0.40700826619751673,24.424126587659746,24.017118321462227,0,3.1829529169481248
10,1.5,2,0.1,8,2,4,0.016811658954776713,0.016434586164431282,0.5270864046377477,0.5270864046422772,4.529487895865714e-12,1,1.0102014169096947
10,1.5,2,0.1,8,1,8,0.38916240751140907,0.37777285721166864,12.316364815050493,12.316364815050502,8.881784197001252e-15,1,0.48584870900958776
10,1.5,4,0.1,16,8,2,0.06211672789902489,0.06098801862213299,2.384589497680829,2.488463589184705,0.10387409150387583,0,25.262204708065838
10,1.5,4,0.1,16,4,4,0.06978868546710443,0.06791798055608007,2.198271792086356,23.142467776599524,20.94419598451317,0,8.976728416979313
10,1.5,4,0.1,16,2,8,0.14231611829798924,0.13906893588608313,4.476716865344404,4.476716865344861,4.574118861455645e-13,1,2.2573862089775503
10,1.5,6,0.1,24,12,2,0.06887966082372088,0.0677121476878907,2.106105484953271,2.925410593575969,0.8193051086226979,0,46.26099354098551
10,1.5,6,0.1,24,6,4,0.041448100717079044,0.03980368201175598,1.352895207203911,4.083683381086007,2.730788173882096,0,18.39639237499796
10,1.5,6,0.1,24,3,8,0.04725150302962412,0.04517527749446171,1.4394953395077625,26.26756641175658,24.828071072248818,0,5.494371582986787
10,1.5,8,0.1,32,16,2,0.15818945198176004,0.15401536437723945,1.5560431627061129,11.981065775970041,10.425022613263929,0,71.17859870893881
10,1.5,8,0.1,32,8,4,0.03750797739905047,0.03703298943882411,1.3609312340916142,2.008319432825521,0.6473881987339067,0,28.04485937487334
10,1.5,8,0.1,32,4,8,0.05472037074491509,0.05330258960584079,1.8059787709813075,27.84244215660649,26.036463385625183,0,9.423245208105072
