config_label,n,g,steps,ansatz_d,drop_rate,init_seed,seed,target_depth,final_cost,elapsed_s,last10_std
overparam_g15,4,1.5,16,8,0.1,2,2100,64,0.0012565474586005987,1.073050833074376,8.374134943498206e-07
overparam_g15,4,1.5,16,8,0.15,2,2150,64,0.0012520570524314767,1.0011229999363422,2.473174433337877e-07
overparam_g15,4,1.5,16,8,0.2,2,2200,64,0.001289959073627056,1.1231482080183923,2.438602881035965e-06
overparam_g15,4,1.5,16,8,0.25,2,2250,64,0.0013027292466734064,1.1604005829431117,2.860907623119202e-06
overparam_g15,4,1.5,16,8,0.3,2,2300,64,0.001252619923275411,1.1627424161415547,1.501381777941656e-08
overparam_g15,4,1.5,16,8,0.4,2,2400,64,0.0012499820340905465,1.1937041671480983,2.826249111171767e-08
overparam_g15,4,1.5,16,8,0.5,2,2500,64,0.0012662286945186452,1.124444083077833,8.022416973785735e-07
overparam_g15,4,1.5,16,8,0.7,2,2700,64,0.0012785229335059434,1.1554087919648737,1.1612247523104261e-06
overparam_g15,4,1.5,16,8,0.0,3,3000,64,0.001252307988347523,1.0631309158634394,2.3723915341686653e-08
overparam_g15,4,1.5,16,8,0.05,3,3050,64,0.0012523129609540717,1.050851000007242,2.3603526748852765e-08
overparam_g15,4,1.5,16,8,0.1,3,3100,64,0.001252510571816856,1.095693957991898,2.1557950056555507e-08
overparam_g15,4,1.5,16,8,0.15,3,3150,64,0.0012520594927858397,0.9399684590753168,2.490652221311662e-08
overparam_g15,4,1.5,16,8,0.2,3,3200,64,0.0012520658381327543,1.1772216667886823,2.3994978440604642e-08
overparam_g15,4,1.5,16,8,0.25,3,3250,64,0.0012523090415015314,1.2024092499632388,2.3798960670907826e-08
overparam_g15,4,1.5,16,8,0.3,3,3300,64,0.0012419970005654868,1.1373670839238912,2.6143882711224915e-07
overparam_g15,4,1.5,16,8,0.4,3,3400,64,0.0012512191253071236,1.056360833114013,2.0451348480574134e-07
overparam_g15,4,1.5,16,8,0.5,3,3500,64,0.0012661268312552654,1.0180460000410676,1.0114878741384003e-08
overparam_g15,4,1.5,16,8,0.7,3,3700,64,0.17849356038673814,0.9078265000134706,0.010193725838253424
overparam_g15,4,1.5,16,8,0.0,4,4000,64,0.001228880082781325,1.0675487089902163,3.359556285225259e-08
overparam_g15,4,1.5,16,8,0.05,4,4050,64,0.0012276692920327736,1.1684974578674883,3.8281452450021434e-08
overparam_g15,4,1.5,16,8,0.1,4,4100,64,0.0012303988153170575,1.1911351669114083,1.315280754118551e-08
overparam_g15,4,1.5,16,8,0.15,4,4150,64,0.12014165694653345,1.2080644590314478,0.0002987225550610538
overparam_g15,4,1.5,16,8,0.2,4,4200,64,0.0012308263581446433,1.2385995830409229,1.1650740415945396e-08
overparam_g15,4,1.5,16,8,0.25,4,4250,64,0.06285715873803976,1.406452292110771,0.0002990174541495681
overparam_g15,4,1.5,16,8,0.3,4,4300,64,0.0012327891779757572,1.0172225830610842,1.270068770437795e-08
overparam_g15,4,1.5,16,8,0.4,4,4400,64,0.12028367049651112,0.9059219169430435,0.00028738883324251705
overparam_g15,4,1.5,16,8,0.5,4,4500,64,0.0011853386082854023,0.7905873327981681,2.022568572779568e-08
overparam_g15,4,1.5,16,8,0.7,4,4700,64,0.0012509039182848625,0.7569984579458833,1.8754646026911472e-08
overparam_g15,4,1.5,16,8,0.0,5,5000,64,0.0012592960461466074,1.1519747499842197,1.6958332439297346e-06
overparam_g15,4,1.5,16,8,0.05,5,5050,64,0.0012592960350894522,1.2262951659504324,1.695832685611979e-06
overparam_g15,4,1.5,16,8,0.1,5,5100,64,0.04330979491728204,1.1557259580586106,6.909688704551459e-06
overparam_g15,4,1.5,16,8,0.15,5,5150,64,0.0012445539440735232,1.0761259580031037,4.641936044592981e-09
overparam_g15,4,1.5,16,8,0.2,5,5200,64,0.0012445591347769458,1.1235736249946058,3.49371031305949e-09
overparam_g15,4,1.5,16,8,0.25,5,5250,64,0.0012580616708706138,1.2231279159896076,1.6345667687833868e-06
overparam_g15,4,1.5,16,8,0.3,5,5300,64,0.0012476884951868605,1.1494574169628322,6.922873467935596e-07
overparam_g15,4,1.5,16,8,0.4,5,5400,64,0.0012442088034163579,1.075956708053127,1.8928217726396582e-10
overparam_g15,4,1.5,16,8,0.5,5,5500,64,0.0012723115184749556,1.0875699168536812,2.1139101581702426e-06
overparam_g15,4,1.5,16,8,0.7,5,5700,64,0.0012594680019129,1.0710883750580251,5.1513356519637654e-08
critical,8,1.0,12,6,0.0,1,1000,48,0.0090706385269812,5.431184667162597,1.1147836975672385e-05
critical,8,1.0,12,6,0.05,1,1050,48,0.008400136460419594,4.8127791250590235,2.5754502732393497e-05
critical,8,1.0,12,6,0.1,1,1100,48,0.009064963987304386,4.953687041066587,1.1614043369051317e-05
critical,8,1.0,12,6,0.15,1,1150,48,0.009070618444723788,4.674597833072767,1.114834826908822e-05
critical,8,1.0,12,6,0.2,1,1200,48,0.00913055372265803,4.5974359170068055,8.66006976416074e-06
critical,8,1.0,12,6,0.25,1,1250,48,0.009078364864295363,4.667436499847099,1.088931922015962e-05
critical,8,1.0,12,6,0.3,1,1300,48,0.009106078387610905,4.626221959013492,9.538332443271031e-06
critical,8,1.0,12,6,0.4,1,1400,48,0.005361538418916956,4.460766874952242,5.224746253987769e-05
critical,8,1.0,12,6,0.5,1,1500,48,0.005065310718620042,4.434005958028138,1.2372507441256525e-05
critical,8,1.0,12,6,0.7,1,1700,48,0.0020053362334251368,4.539089750032872,5.514704839204116e-05
critical,8,1.0,12,6,0.0,2,2000,48,0.009449966113177943,4.935673291096464,4.889017925392936e-05
critical,8,1.0,12,6,0.05,2,2050,48,0.0038600706346205715,4.975286625092849,0.00024187750063543815
critical,8,1.0,12,6,0.1,2,2100,48,0.009423421165454027,6.1526077499147505,3.8264099316188586e-05
critical,8,1.0,12,6,0.15,2,2150,48,0.0028783618615815243,6.8152367090806365,0.00018149139268539238
critical,8,1.0,12,6,0.2,2,2200,48,0.002203396271293512,5.331983415875584,0.00012525933949008997
critical,8,1.0,12,6,0.25,2,2250,48,0.005384208092838572,5.643564665922895,0.00035453389947611526
critical,8,1.0,12,6,0.3,2,2300,48,0.005372346640596826,6.0648559159599245,0.00040145359371987943
critical,8,1.0,12,6,0.4,2,2400,48,0.004641383678697597,6.328531041042879,0.00024317685218301228
critical,8,1.0,12,6,0.5,2,2500,48,0.009501832610092187,5.377195500070229,7.530085138980147e-05
critical,8,1.0,12,6,0.7,2,2700,48,0.01487898176449054,4.9274047499056906,9.165542293924641e-06
critical,8,1.0,12,6,0.0,3,3000,48,0.004913514970286359,5.809237791923806,0.00012221274073593766
critical,8,1.0,12,6,0.05,3,3050,48,0.004919243002456941,5.9052488340530545,0.00012217077469042073
critical,8,1.0,12,6,0.1,3,3100,48,0.004859649309481018,5.260593417100608,0.0001225540183820781
critical,8,1.0,12,6,0.15,3,3150,48,0.005077775211371538,4.990826040972024,7.861201502710467e-05
critical,8,1.0,12,6,0.2,3,3200,48,0.004757008658138551,4.425705833127722,0.00012082781376796524
critical,8,1.0,12,6,0.25,3,3250,48,0.004913340216821327,4.42397666699253,0.00011182877329227395
critical,8,1.0,12,6,0.3,3,3300,48,0.0040378705226509215,4.706212375080213,0.00010199814576758082
